City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
mezen,RU,1618537238,65.8522,44.24,100,88,29.911999999999956,2.18
acarau,BR,1618537202,-2.8856,-40.12,94,87,77.99000000000002,5.02
baykit,RU,1618537238,61.67,96.37,100,81,31.477999999999962,6.11
prince rupert,CA,1618537239,54.3161,-130.3201,1,71,52.069999999999965,3.09
zonguldak,TR,1618537239,41.25,31.8333,100,93,43.19600000000005,1.09
lata,PT,1618537239,40.1629,-8.3327,72,91,58.26199999999996,0.99
bubaque,GW,1618537240,11.2833,-15.8333,1,74,76.92799999999997,5.82
raboso,MX,1618537240,18.5667,-98.45,9,25,82.23800000000006,1.49
norman wells,CA,1618537240,65.282,-126.8329,20,28,55.66999999999996,2.57
tondano,ID,1618537241,1.3038,124.9112,20,58,88.06999999999996,3.6
energetik,RU,1618537241,51.7445,58.7934,20,65,45.71600000000001,1.63
antofagasta,CL,1618536986,-23.65,-70.4,20,77,61.069999999999965,3.6
banes,CU,1618537242,20.9625,-75.7186,0,64,75.46999999999997,4.63
yumen,CN,1618537242,40.2833,97.2,0,14,47.785999999999966,8.34
kedrovyy,RU,1618537242,56.1667,91.8167,0,57,46.66999999999996,7
urucara,BR,1618537242,-2.5364,-57.76,97,89,76.00999999999999,0.35
camacha,PT,1618537243,33.0833,-16.3333,40,77,64.66999999999996,5.14
ostrovnoy,RU,1618537243,68.0531,39.5131,100,98,31.45999999999998,2.49
santa maria,BR,1618537243,-29.6842,-53.8069,40,100,64.66999999999996,0.51
ambon,ID,1618537244,-3.6954,128.1814,20,66,86.26999999999995,1.54
innisfail,AU,1618537244,-17.5333,146.0333,65,76,73.27400000000002,3.13
mecca,SA,1618537244,21.4267,39.8261,44,56,77.73800000000006,1.83
east hemet,US,1618537245,33.74,-116.9389,62,55,63.266000000000005,3.13
bathsheba,BB,1618537245,13.2167,-59.5167,75,65,80.86999999999996,9.26
okhotsk,RU,1618537245,59.3833,143.3,10,70,24.548000000000023,1.29
shingu,JP,1618537246,33.7333,135.9833,75,63,62.86999999999996,5.66
severo-yeniseyskiy,RU,1618537246,60.3725,93.0408,100,97,29.767999999999983,3.79
lokosovo,RU,1618537246,61.1333,74.8167,100,78,30.59600000000005,6.09
juba,SS,1618537247,4.8517,31.5825,80,76,72.05000000000001,1.65
galiwinku,,,,,,,,
dwarka,IN,1618537101,22.2394,68.9678,0,74,80.042,3.33
ambunti,PG,1618537247,-4.2365,142.8448,69,53,92.084,0.72
albion,US,1618537248,42.2431,-84.753,90,70,43.06999999999996,3.6
bom jesus,BR,1618537248,-9.0744,-44.3586,100,59,77.77400000000002,0.12
bow island,CA,1618537248,49.8668,-111.3684,40,28,53.86999999999996,4.63
merauke,ID,1618537249,-8.4667,140.3333,88,65,85.67599999999999,4.51
fare,PF,1618537249,-16.7,-151.0167,26,72,82.72400000000002,3.68
kavaratti,IN,1618537190,10.5669,72.642,86,70,84.39800000000002,2.9
yuzhno-sukhokumsk,RU,1618537250,44.6581,45.6436,96,66,52.7,3.29
honiara,SB,1618537250,-9.4333,159.95,23,68,87.24199999999999,2.25
nakamura,JP,1618537250,32.9833,132.9333,6,61,68.95399999999995,2.38
dekar,BW,1618537250,-21.5333,21.9333,76,30,68.30600000000004,2.86
nakhon thai,TH,1618537251,17.1006,100.8374,20,89,86.26999999999995,1.34
sasaram,IN,1618537251,24.951,84.0149,85,21,90.30199999999998,5.06
campbell river,CA,1618537251,50.0163,-125.2446,1,14,75.46999999999997,1.54
rovinj,HR,1618537252,45.08,13.64,0,65,41.26999999999996,3.6
kiama,AU,1618537252,-34.6833,150.8667,40,52,67.26199999999996,6.17
umzimvubu,,,,,,,,
skibbereen,IE,1618537253,51.55,-9.2667,20,93,39.469999999999956,3.6
tahe,CN,1618537253,52.3333,124.7333,100,45,37.742,3.17
yar-sale,RU,1618537253,66.8333,70.8333,11,90,-3.891999999999996,3.72
najran,SA,1618537254,17.4924,44.1277,47,33,77.26999999999995,6.17
sisophon,KH,1618537254,13.5859,102.9737,10,52,89.50999999999999,2.49
paita,PE,1618537254,-5.0892,-81.1144,99,77,70.592,4.48
mabaruma,GY,1618537255,8.2,-59.7833,22,93,75.29000000000002,1.95
victoria,HK,1618537208,22.2855,114.1577,100,89,74.26400000000004,0.89
rabo de peixe,PT,1618537255,37.8,-25.5833,20,88,57.469999999999956,1.03
jinchengjiang,,,,,,,,
labutta,,,,,,,,
great yarmouth,GB,1618537144,52.6083,1.7305,38,100,39.272000000000034,0.51
elizabeth city,US,1618537134,36.2946,-76.2511,1,94,57.272000000000034,2.06
galion,US,1618537256,40.7337,-82.7899,92,77,43.26799999999999,6.37
laiyang,CN,1618537256,36.9758,120.7136,4,22,58.748000000000026,6.06
rafai,CF,1618537257,4.95,23.9167,99,85,67.80199999999998,1.08
kenora,CA,1618537132,49.8167,-94.4337,75,52,41.26999999999996,2.57
karakendzha,,,,,,,,
kyren,RU,1618537257,51.6828,102.1408,27,42,37.274000000000015,0.84
marcona,,,,,,,,
chimbote,PE,1618537258,-9.0853,-78.5783,66,85,66.77599999999998,2.95
acapulco,MX,1618537258,16.8634,-99.8901,75,78,80.86999999999996,2.57
manaus,BR,1618537006,-3.1019,-60.025,40,89,79.06999999999996,2.57
middle island,US,1618537258,40.8843,-72.9373,90,87,46.274000000000015,3.6
formosa do rio preto,BR,1618537259,-11.0483,-45.1931,59,54,75.12799999999996,0.56
airai,TL,1618537259,-8.9266,125.4092,83,60,71.54600000000005,1.29
lazaro cardenas,MX,1618537259,17.9583,-102.2,0,74,76.76600000000002,3.39
vao,NC,1618537103,-22.6667,167.4833,96,91,73.49000000000002,7.1
toyooka,JP,1618537260,35.5333,134.8333,75,63,62.86999999999996,5.66
novoagansk,RU,1618537260,61.9449,76.6625,80,79,23.23399999999999,8.02
nome,US,1618537261,64.5011,-165.4064,75,80,31.261999999999954,8.23
meulaboh,ID,1618537261,4.1363,96.1285,81,77,81.392,0.52
kalmunai,LK,1618537262,7.4167,81.8167,100,77,79.484,2.15
makakilo city,US,1618537262,21.3469,-158.0858,90,57,80.86999999999996,5.66
cap malheureux,MU,1618537263,-19.9842,57.6142,88,84,79.26799999999999,1.34
changqing,CN,1618537263,36.5575,116.7272,54,15,66.27200000000005,0.45
aklavik,CA,1618537263,68.2191,-135.0107,85,68,25.069999999999958,2.57
orangeburg,US,1618537264,33.4918,-80.8557,1,52,70.06999999999996,3.09
eregli,TR,1618537264,37.5133,34.0467,98,48,52.358000000000004,1.16
samarai,PG,1618537264,-10.6167,150.6667,89,79,81.608,1.61
belmonte,BR,1618537265,-15.8631,-38.8828,40,73,73.66999999999996,0.51
carballo,ES,1618537265,43.213,-8.691,0,71,48.272000000000034,1.03
iwanai,JP,1618537265,42.9744,140.5089,78,39,54.05,3.6
atambua,ID,1618537266,-9.1061,124.8925,99,62,81.21199999999996,0.47
ahipara,NZ,1618537266,-35.1667,173.1667,1,58,68.70199999999997,3.32
tiruchchendur,IN,1618537266,8.4833,78.1167,40,88,77.26999999999995,2.98
nikolayevsk-na-amure,RU,1618537267,53.1406,140.73,15,93,35.492,1.17
berlevag,NO,1618537267,70.8578,29.0864,100,88,35.76199999999996,9.28
flin flon,CA,1618537268,54.7682,-101.865,52,91,35.564000000000036,4.17
ndele,CF,1618537268,8.4109,20.6473,38,12,72.82400000000001,1.63
hami,CN,1618537268,42.8,93.45,6,10,60.96199999999996,6.2
gorgan,IR,1618536977,36.8387,54.4348,20,93,52.069999999999965,0.32
zapolyarnyy,RU,1618537269,69.4154,30.8136,90,80,35.86999999999996,5.66
attawapiskat,,,,,,,,
tazovskiy,RU,1618537269,67.4667,78.7,93,92,-4.917999999999985,7.59
mosquera,CO,1618537270,4.7059,-74.2302,20,87,53.86999999999996,2.06
umm lajj,SA,1618537270,25.0213,37.2685,0,67,74.91199999999995,4.75
atar,MR,1618537270,20.5169,-13.0499,54,24,75.99199999999999,3.71
pevek,RU,1618537121,69.7008,170.3133,100,77,23.80999999999998,11.4
muhororo,UG,1618537271,0.9381,30.7594,100,97,62.63599999999997,1.1
uhlove,UA,1618537271,44.8215,33.6045,16,68,45.266000000000005,3.53
iguape,BR,1618537272,-24.7081,-47.5553,100,75,73.958,4.15
ternate,ID,1618537272,0.8,127.4,99,78,82.47200000000004,5.5
kropotkin,RU,1618537272,45.4375,40.5756,91,89,47.39000000000002,0.19
san carlos,VE,1618537273,9.6612,-68.5827,84,65,83.04800000000003,1.83
marzuq,YE,1618537180,14.4,46.4667,91,45,67.36999999999996,2
ballina,AU,1618537273,-28.8667,153.5667,4,69,79.06999999999996,6.17
warqla,,,,,,,,
kamareddi,IN,1618537274,18.3167,78.35,4,61,79.15999999999998,2.09
tessalit,ML,1618537167,20.1986,1.0114,4,12,83.51600000000002,3.63
siquirres,CR,1618537274,10.0975,-83.5066,100,82,65.26400000000004,0.45
douglas,US,1618537274,41.3,-96.167,90,65,46.274000000000015,3.09
mogadishu,SO,1618537275,2.0371,45.3438,100,73,82.09399999999997,3.97
jalu,LY,1618537057,29.0331,21.5482,0,33,68.30600000000004,3.4
guerrero negro,MX,1618537275,27.9769,-114.0611,100,68,59.648000000000025,8.21
beyneu,KZ,1618537275,45.3167,55.2,2,58,56.58800000000005,3.46
banswara,IN,1618537276,23.55,74.45,1,44,81.48200000000003,2.53
thinadhoo,MV,1618537276,0.5333,72.9333,16,65,82.45399999999995,2.13
rawson,AR,1618537190,-43.3002,-65.1023,0,44,60.440000000000026,5.59
sawtell,AU,1618537277,-30.3833,153.1,38,49,73.66999999999996,7.2
keflavik,IS,1618537277,64.0049,-22.5624,90,100,48.469999999999956,9.77
kondol,RU,1618537277,52.8189,45.058,100,30,51.27799999999996,3.2
okato,NZ,1618537278,-39.2,173.8833,9,84,64.27400000000002,4.47
richards bay,ZA,1618537114,-28.783,32.0377,34,75,71.47400000000002,10.21
olafsvik,IS,1618537278,64.8945,-23.7142,94,96,43.91600000000001,6.41
houma,US,1618537201,29.5958,-90.7195,90,88,68.26999999999995,2.57
vanavara,RU,1618537278,60.34,102.2797,100,97,35.20399999999995,7.79
zhezkazgan,KZ,1618537279,47.8043,67.7144,38,46,50.41400000000003,3.83
anloga,GH,1618537279,5.7947,0.8973,20,83,82.66999999999996,3.09
krasnoselkup,RU,1618537279,65.7,82.4667,84,87,-2.470000000000013,8.7
kayerkan,RU,1618537093,69.3497,87.7602,100,97,-13.755999999999979,5.2
ishigaki,JP,1618537280,24.3448,124.1572,75,88,77.26999999999995,2.57
viligili,,,,,,,,
sao joao da barra,BR,1618537280,-21.6403,-41.0511,100,67,72.55399999999995,2.45
libertador general san martin,AR,1618537281,-23.8064,-64.7876,9,95,70.26799999999999,1.43
tiarei,PF,1618537281,-17.5333,-149.3333,75,70,87.27799999999996,6.17
sur,OM,1618537281,22.5667,59.5289,3,38,84.39800000000002,3.9
dali,CN,1618537282,25.7,100.1833,51,31,69.458,1.4
maloshuyka,,,,,,,,
khonuu,,,,,,,,
tokzar,,,,,,,,
vuktyl,RU,1618537282,63.8567,57.3094,6,64,24.277999999999963,1.06
dunedin,NZ,1618537283,-45.8742,170.5036,100,85,53.27599999999999,0.45
opovo,RS,1618537283,45.0522,20.4303,26,100,37.274000000000015,1.54
half moon bay,US,1618537283,37.4636,-122.4286,1,76,59.26999999999996,2.57
raga,SS,1618537284,8.4596,25.678,46,15,73.66999999999996,0.35
khandbari,NP,1618537284,27.3747,87.2039,94,23,78.27799999999996,0.22
garowe,SO,1618537284,8.4054,48.4845,8,89,72.48200000000003,3.17
kloulklubed,PW,1618537285,7.0419,134.2556,100,86,80.618,18.67
nokaneng,BW,1618537285,-19.6667,22.2667,39,36,64.99399999999997,3.7
baghdad,IQ,1618537285,33.3406,44.4009,0,34,62.86999999999996,2.06
bolungarvik,,,,,,,,
praia,CV,1618537286,14.9215,-23.5087,20,73,70.06999999999996,8.23
hay river,CA,1618537286,60.8156,-115.7999,99,31,59.26999999999996,2.35
swan river,CA,1618537286,52.1058,-101.2676,92,75,35.86999999999996,1.03
poum,NC,1618537287,-20.2333,164.0167,90,75,80.34800000000003,2.02
aleksandrov gay,RU,1618537287,50.147,48.5704,96,55,51.674000000000014,3.59
constitucion,CL,1618537256,-35.3333,-72.4167,2,87,56.06600000000001,5.06
balinsasayao,PH,1618537288,10.6815,124.9594,100,65,86.05399999999995,1.87
aleksandrovsk-sakhalinskiy,RU,1618537288,50.8975,142.1561,7,57,38.56999999999996,6.07
puerto escondido,MX,1618537288,15.85,-97.0667,1,74,82.66999999999996,4.12
mana,GF,1618537288,5.6592,-53.7767,76,84,78.566,5.56
vidalia,US,1618537289,32.2177,-82.4135,1,82,64.66999999999996,2.06
gayeri,BF,1618537289,12.6497,0.4931,2,15,87.92599999999999,3.4
puerto leguizamo,CO,1618537289,-0.1934,-74.7819,100,94,74.20999999999998,0.91
dongsheng,CN,1618537290,39.8161,109.9776,0,26,38.11999999999996,11.13
iqaluit,CA,1618537104,63.7506,-68.5145,40,72,3.46999999999996,2.57
samalaeulu,,,,,,,,
katherine,AU,1618537290,-14.4667,132.2667,84,51,88.06999999999996,1.54
nelson bay,AU,1618537291,-32.7167,152.15,75,60,70.06999999999996,5.14
sloboda,RU,1618537291,51.1421,40.3021,79,84,47.461999999999954,2.38
coihaique,CL,1618537291,-45.5752,-72.0662,100,94,46.79600000000005,3.05
titiribi,CO,1618537292,6.0628,-75.7937,75,94,59.26999999999996,1.54
marsa matruh,EG,1618537292,31.3525,27.2453,0,67,61.069999999999965,3.6
kolchugino,RU,1618537292,56.3,39.3833,100,90,44.22200000000004,5.67
kalianget,ID,1618537293,-7.05,113.9333,42,72,83.174,2.38
turan,VN,1618537062,16.0678,108.2208,40,78,82.66999999999996,1.03
petropavlovsk-kamchatskiy,RU,1618537104,53.0452,158.6483,20,48,37.66999999999996,8
tukrah,LY,1618537293,32.5341,20.5791,99,61,60.998000000000026,5.12
general roca,AR,1618537094,-39.0333,-67.5833,0,63,64.66999999999996,1.03
bandarbeyla,SO,1618537294,9.4942,50.8122,6,78,79.60999999999999,2.54
alcantara,BR,1618537294,-2.4089,-44.4147,40,94,80.86999999999996,1.54
lavrentiya,RU,1618537294,65.5833,-171,99,89,20.48000000000004,3.24
santa vitoria do palmar,BR,1618537295,-33.5189,-53.3681,95,93,66.03800000000004,1.75
estelle,US,1618537295,29.8458,-90.1067,75,94,68.26999999999995,2.57
alto longa,BR,1618537295,-5.2511,-42.2103,100,88,75.41600000000001,1.53
irtyshskiy,RU,1618537296,58.3333,68.1333,100,77,40.658,5.33
lesosibirsk,RU,1618537296,58.2358,92.4828,100,93,41.48599999999997,6.26
bocaranga,,,,,,,,
homer,US,1618537167,59.6425,-151.5483,90,66,46.66999999999996,2.15
jabiru,,,,,,,,
shirokiy,RU,1618537297,49.758,129.523,100,66,45.76999999999996,6.01
togitsu,JP,1618537297,32.8333,129.85,75,82,57.469999999999956,5.14
polunochnoye,RU,1618537297,60.8697,60.4153,5,76,30.308000000000003,1.69
harper,LR,1618537298,4.375,-7.7169,87,84,79.75399999999996,2.77
florence,IT,1618537298,43.7667,11.25,0,87,45.266000000000005,2.06
mbulu,TZ,1618537298,-3.85,35.5333,80,96,57.469999999999956,2.54
sept-iles,CA,1618537299,50.2001,-66.3821,4,81,37.66999999999996,4.12
saint-francois,FR,1618537299,46.4154,3.9054,0,93,31.261999999999954,0.51
rio grande,BR,1618537299,-32.035,-52.0986,100,86,68.70199999999997,1.6
faya,SA,1618537300,18.3851,42.4509,0,59,61.069999999999965,2.06
lerwick,GB,1618537300,60.1545,-1.1494,40,75,43.06999999999996,5.14
beringovskiy,RU,1618537300,63.05,179.3167,100,90,36.30199999999998,5.19
sabae,JP,1618537301,35.9465,136.185,75,40,68.26999999999995,8.23
kangaatsiaq,GL,1618537176,68.3065,-53.4641,100,81,4.225999999999988,5.93
pokoynoye,RU,1618537301,44.8097,44.2517,11,77,49.946000000000055,2.05
magadan,RU,1618537302,59.5667,150.8,52,72,26.81600000000001,3.65
komsomolskiy,UZ,1618537127,40.4272,71.7189,34,58,55.66999999999996,4.12
moulins,FR,1618537302,46.5,3.3333,0,93,31.261999999999954,0.51
araouane,ML,1618537302,18.9048,-3.5265,25,16,83.10199999999998,5.3
phonhong,LA,1618537303,18.5007,102.4166,75,70,86.26999999999995,2.06
seredeyskiy,RU,1618537303,54.0507,35.2318,97,94,46.346000000000046,2.93
salisbury,GB,1618537303,51.0693,-1.7957,15,75,37.66999999999996,2.57
salinopolis,BR,1618537304,-0.6136,-47.3561,98,86,79.43000000000004,4.69
nara,JP,1618537304,34.6851,135.8049,75,63,64.66999999999996,5.14
selfoss,IS,1618537304,63.9331,-20.9971,100,100,46.274000000000015,7.15
pemberton,CA,1618537305,50.3164,-122.8027,1,15,68.26999999999995,1.03
presidencia roque saenz pena,AR,1618537305,-26.7852,-60.4388,52,93,70.26799999999999,0.89
alice springs,AU,1618537044,-23.7,133.8833,75,45,66.46999999999997,6.17
shenjiamen,CN,1618537305,29.9576,122.298,7,75,60.25999999999998,1.76
gamba,GA,1618537306,-2.65,10,100,89,78.16999999999996,1.43
matina,CR,1618537306,10.0761,-83.2895,100,93,75.95600000000003,1.15
buraydah,SA,1618537276,26.326,43.975,0,28,70.06999999999996,2.06
masvingo,ZW,1618537307,-20.0637,30.8277,1,77,55.54399999999997,1.6
baiculesti,RO,1618537307,45.0667,24.7,51,90,33.15199999999997,1.22
nadym,RU,1618537202,65.5333,72.5167,6,75,4.496000000000048,7.99
si sa ket,TH,1618537307,14.8333,104.3333,36,99,93.27200000000005,3.31
